Joints
100
,,Ben_Johnston:World_Lower,,,,,,Ben_Johnston:World_Upper,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
134,0,-6.36654,-11.987,1032.5,4.813,-14.975,1159.17,-28.4183,-17.4952,1405.94,-3.56757,95.0052,1333.9
135,0,-5.76192,-12.0793,1032.75,4.9428,-15.0971,1159.71,-29.1558,-17.5292,1406.37,-4.29165,94.8839,1334.31
136,0,-5.05323,-12.2236,1033.02,5.10809,-15.1952,1160.33,-30.1039,-17.6273,1406.82,-5.68168,94.4271,1334.51
137,0,-4.15336,-12.3968,1033.33,5.33429,-15.3546,1160.98,-31.0012,-17.732,1407.36,-5.69296,94.7695,1335.59
138,0,-3.24617,-12.5321,1033.68,5.61879,-15.5207,1161.81,-32.1047,-17.8521,1407.99,-7.19729,94.2334,1335.98
139,0,-2.15394,-12.7172,1034.04,5.95466,-15.6807,1162.61,-33.3439,-17.9442,1408.62,-7.25914,94.6031,1337.11
140,0,-0.972325,-12.9102,1034.42,6.29367,-15.8571,1163.59,-34.6084,-18.064,1409.32,-8.94874,93.9914,1337.6
141,0,0.245958,-13.0855,1034.8,6.65813,-16.0654,1164.59,-35.9858,-18.2559,1410.07,-9.46311,94.0293,1338.71
142,0,1.59582,-13.3152,1035.23,7.03802,-16.2907,1165.66,-37.5314,-18.3986,1410.83,-10.9721,93.6364,1339.47
143,0,3.0376,-13.4293,1035.71,7.48681,-16.4952,1166.81,-39.1988,-18.5598,1411.64,-11.8417,93.555,1340.56
144,0,4.59937,-13.6071,1036.24,7.90465,-16.7337,1168.01,-40.9704,-18.8041,1412.52,-12.7529,93.5453,1341.38
145,0,6.20935,-13.7674,1036.82,8.31802,-16.99,1169.28,-42.9026,-18.9461,1413.37,-14.2655,93.3338,1342.89
146,0,7.89384,-13.9059,1037.43,8.79781,-17.2719,1170.64,-44.9923,-19.1903,1414.28,-16.2608,92.6955,1344.16
147,0,9.6806,-14.1274,1038.12,9.27674,-17.5771,1172.03,-47.2384,-19.4175,1415.14,-16.2908,92.967,1344.76
148,0,11.5423,-14.3057,1038.86,9.7007,-17.9229,1173.48,-49.5737,-19.6283,1416.03,-18.0239,92.6465,1346.18
149,0,13.5261,-14.5362,1039.6,10.2413,-18.302,1174.99,-52.1653,-19.8537,1416.86,-20.0415,92.2692,1347.54
150,0,15.6598,-14.7973,1040.46,10.7841,-18.6623,1176.59,-54.8317,-20.1187,1417.74,-21.7607,92.0225,1348.8
151,0,17.8614,-15.0986,1041.29,11.2576,-19.0792,1178.25,-57.7234,-20.275,1418.53,-23.2827,91.9503,1350.2
152,0,20.1248,-15.3994,1042.21,11.7542,-19.4897,1179.95,-60.8147,-20.525,1419.33,-24.9036,91.8656,1351.32
153,0,22.546,-15.6787,1043.16,12.3495,-19.8962,1181.75,-64.0983,-20.7886,1420,-28.4746,90.9653,1352.58
154,0,25.0442,-16.0161,1044.15,12.8429,-20.3553,1183.6,-67.4979,-21.0146,1420.61,-29.9449,91.1076,1353.83
155,0,27.6846,-16.3622,1045.16,13.3263,-20.7959,1185.45,-71.0996,-21.2242,1421.12,-32.2541,91.0329,1355.12
156,0,30.4156,-16.7027,1046.31,13.8252,-21.2568,1187.36,-74.8657,-21.4378,1421.53,-34.8595,90.8575,1356.24
157,0,33.1601,-17.0906,1047.46,14.257,-21.702,1189.31,-78.8921,-21.687,1421.81,-38.3619,90.145,1356.79
158,0,35.9976,-17.4583,1048.68,14.6354,-22.1874,1191.24,-82.9985,-21.9447,1421.92,-40.4374,90.6266,1358.03
159,0,38.8634,-17.8292,1049.96,14.9268,-22.6914,1193.07,-87.3638,-22.2003,1421.82,-43.9,90.1999,1358.71
160,0,41.7258,-18.2624,1051.22,15.1668,-23.2397,1194.87,-91.8041,-22.4456,1421.55,-47.0719,89.971,1359.47
