Trajectories
100
,,Ben_Johnston:Base,,,Ben_Johnston:L5,,,Ben_Johnston:UpperVert,,,Ben_Johnston:Shoulder,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
166,0,17.4616,355.711,1030.05,-8.14568,356.77,1192.31,-16.4709,326.057,1452.64,-116.928,286.656,1338.51
167,0,18.571,354.726,1029.86,-7.58328,356.082,1191.1,-17.8018,327.27,1451.5,-117.577,287.14,1336.88
168,0,19.5485,353.816,1029.71,-7.05919,355.447,1190.11,-18.8841,328.28,1450.51,-118.099,287.617,1335.46
169,0,20.4715,353.027,1029.64,-6.56088,354.908,1189.31,-19.8014,329.113,1449.73,-118.467,287.96,1334.31
170,0,21.2834,352.274,1029.63,-6.10525,354.513,1188.77,-20.5043,329.639,1449.09,-118.727,288.237,1333.37
171,0,21.958,351.697,1029.66,-5.68812,354.202,1188.37,-21.0237,330.135,1448.61,-118.915,288.528,1332.68
172,0,22.5136,351.249,1029.7,-5.26868,353.947,1188.14,-21.294,330.326,1448.28,-119.057,288.74,1332.23
173,0,22.9969,350.959,1029.69,-4.8596,353.733,1188.04,-21.4547,330.501,1448.09,-119.061,288.846,1331.95
174,0,23.3736,350.807,1029.65,-4.48563,353.573,1188.07,-21.3999,330.496,1448,-118.985,288.907,1331.84
175,0,23.6719,350.816,1029.57,-4.02997,353.424,1188.19,-21.1857,330.315,1447.98,-118.788,288.881,1331.82
176,0,23.8731,350.931,1029.5,-3.5108,353.294,1188.35,-20.7985,330.107,1448.05,-118.4,288.76,1331.91
177,0,23.9714,351.131,1029.44,-3.02542,353.136,1188.5,-20.1031,329.638,1448.19,-117.856,288.553,1332.07
178,0,23.976,351.374,1029.42,-2.51232,352.985,1188.71,-19.2859,329.072,1448.42,-117.211,288.221,1332.34
179,0,23.9737,351.645,1029.49,-1.9802,352.801,1188.98,-18.3525,328.328,1448.79,-116.49,287.758,1332.75
180,0,23.9065,351.935,1029.69,-1.48617,352.623,1189.39,-17.1953,327.387,1449.26,-115.598,287.228,1333.3
181,0,23.8161,352.398,1030.02,-1.11683,352.464,1190,-15.9569,326.204,1449.85,-114.693,286.455,1334.05
182,0,23.6874,352.891,1030.41,-0.747287,352.29,1190.72,-14.4633,324.876,1450.57,-113.682,285.565,1334.98
183,0,23.5328,353.528,1030.89,-0.377328,352.078,1191.66,-12.9379,323.405,1451.44,-112.573,284.566,1336.09
184,0,23.3048,354.364,1031.46,-0.0264177,351.851,1192.67,-11.063,321.671,1452.38,-111.378,283.344,1337.4
185,0,22.9239,355.297,1032.11,0.265024,351.63,1193.82,-9.08116,319.708,1453.41,-110.049,281.995,1338.81
186,0,22.5044,356.457,1032.77,0.542067,351.426,1195.05,-6.93454,317.528,1454.49,-108.665,280.418,1340.38
187,0,21.9538,357.706,1033.53,0.81893,351.186,1196.37,-4.53882,315.127,1455.68,-107.104,278.781,1342.07
188,0,21.3785,359.118,1034.32,1.05024,350.977,1197.82,-1.90518,312.513,1456.96,-105.486,276.883,1343.92
189,0,20.6637,360.714,1035.17,1.24116,350.864,1199.39,1.00837,309.568,1458.29,-103.675,274.834,1345.92
190,0,19.9179,362.478,1035.98,1.37122,350.811,1201.09,4.10106,306.389,1459.68,-101.679,272.636,1348.07
